dataset_id,table_id,table_type,clustering_fields,created,expires,friendly_name,full_table_id,partition_expiration,partitioning_type,path,project,reference,time_partitioning,view_use_legacy_sql
analytics_274239098,events_intraday_20210916,table,,2021-09-16 03:15:37.521000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210916,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210916,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210916,,
analytics_274239098,events_intraday_20210917,table,,2021-09-17 02:07:53.704000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210917,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210917,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210917,,
analytics_274239098,events_intraday_20210918,table,,2021-09-18 07:15:25.557000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210918,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210918,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210918,,
analytics_274239098,events_intraday_20210920,table,,2021-09-20 03:01:38.638000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210920,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210920,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210920,,
analytics_274239098,events_intraday_20210921,table,,2021-09-21 03:12:50.921000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210921,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210921,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210921,,
analytics_274239098,events_intraday_20210922,table,,2021-09-22 03:19:32.447000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210922,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210922,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210922,,
analytics_274239098,events_intraday_20210923,table,,2021-09-23 03:16:42.033000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210923,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210923,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210923,,
analytics_274239098,events_intraday_20210925,table,,2021-09-25 02:29:08.469000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210925,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210925,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210925,,
analytics_274239098,events_intraday_20210927,table,,2021-09-27 05:26:11.693000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210927,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210927,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210927,,
analytics_274239098,events_intraday_20210929,table,,2021-09-29 05:59:58.030000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210929,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210929,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210929,,
analytics_274239098,events_intraday_20210930,table,,2021-09-30 07:07:59.973000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210930,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210930,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210930,,
analytics_274239098,events_intraday_20211002,table,,2021-10-02 02:24:25.567000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211002,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211002,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211002,,
analytics_274239098,events_intraday_20211003,table,,2021-10-03 04:38:47.496000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211003,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211003,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211003,,
analytics_274239098,events_intraday_20211004,table,,2021-10-04 15:05:49.022000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211004,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211004,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211004,,
analytics_274239098,events_intraday_20211005,table,,2021-10-05 03:10:03.634000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211005,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211005,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211005,,
analytics_274239098,events_intraday_20211009,table,,2021-10-09 04:00:50.801000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211009,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211009,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211009,,
analytics_274239098,events_intraday_20211011,table,,2021-10-11 07:15:51.273000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211011,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211011,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211011,,
analytics_274239098,events_intraday_20211012,table,,2021-10-12 03:01:12.814000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211012,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211012,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211012,,
analytics_274239098,events_intraday_20211014,table,,2021-10-14 02:46:51.754000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211014,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211014,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211014,,
analytics_274239098,events_intraday_20211016,table,,2021-10-16 06:18:26.711000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211016,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211016,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211016,,
analytics_274239098,events_intraday_20211018,table,,2021-10-18 10:35:32.869000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211018,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211018,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211018,,
analytics_274239098,events_intraday_20211019,table,,2021-10-19 03:28:49.428000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211019,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211019,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211019,,
analytics_274239098,events_intraday_20211025,table,,2021-10-25 04:39:50.737000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211025,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211025,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211025,,
analytics_274239098,events_intraday_20211026,table,,2021-10-26 03:36:27.208000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211026,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211026,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211026,,
analytics_274239098,events_intraday_20211027,table,,2021-10-27 03:36:37.144000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211027,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211027,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211027,,
analytics_274239098,events_intraday_20211028,table,,2021-10-28 03:55:58.991000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211028,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211028,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211028,,
analytics_274239098,events_intraday_20211029,table,,2021-10-29 03:13:04.886000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211029,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211029,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211029,,
analytics_274239098,events_intraday_20211030,table,,2021-10-30 04:47:02.936000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211030,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211030,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211030,,
analytics_274239098,events_intraday_20211031,table,,2021-10-31 11:01:49.772000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211031,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211031,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211031,,
analytics_274239098,events_intraday_20211101,table,,2021-11-01 16:25:08.937000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211101,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211101,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211101,,
analytics_274239098,events_intraday_20211102,table,,2021-11-02 03:58:07.062000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211102,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211102,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211102,,
analytics_274239098,events_intraday_20211103,table,,2021-11-03 03:23:23.530000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211103,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211103,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211103,,
analytics_274239098,events_intraday_20211105,table,,2021-11-05 06:46:39.285000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211105,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211105,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211105,,
analytics_274239098,events_intraday_20211106,table,,2021-11-06 04:13:53.620000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211106,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211106,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211106,,
analytics_274239098,events_intraday_20211107,table,,2021-11-07 04:59:35.283000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211107,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211107,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211107,,
analytics_274239098,events_intraday_20211109,table,,2021-11-09 03:10:38.014000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211109,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211109,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211109,,
analytics_274239098,events_intraday_20211111,table,,2021-11-11 04:30:01.379000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211111,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211111,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211111,,
analytics_274239098,events_intraday_20211112,table,,2021-11-12 04:13:02.654000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211112,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211112,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211112,,
analytics_274239098,events_intraday_20211113,table,,2021-11-13 10:38:49.092000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211113,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211113,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211113,,
analytics_274239098,events_intraday_20211114,table,,2021-11-14 03:00:10.016000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211114,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211114,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211114,,
analytics_274239098,events_intraday_20211115,table,,2021-11-15 17:36:07.608000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211115,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211115,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211115,,
analytics_274239098,events_intraday_20211116,table,,2021-11-16 06:47:56.592000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211116,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211116,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211116,,
analytics_274239098,events_intraday_20211118,table,,2021-11-18 07:17:27.326000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211118,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211118,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211118,,
analytics_274239098,events_intraday_20211119,table,,2021-11-19 09:29:51.940000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211119,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211119,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211119,,
analytics_274239098,events_intraday_20211120,table,,2021-11-20 03:30:29.154000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211120,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211120,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211120,,
analytics_274239098,events_intraday_20211123,table,,2021-11-23 09:10:15.858000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211123,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211123,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211123,,
analytics_274239098,events_intraday_20211124,table,,2021-11-24 03:53:29.051000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211124,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211124,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211124,,
analytics_274239098,events_intraday_20211128,table,,2021-11-28 03:52:28.042000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211128,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211128,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211128,,
analytics_274239098,events_intraday_20211129,table,,2021-11-29 11:32:01.465000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211129,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211129,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211129,,
analytics_274239098,events_intraday_20211130,table,,2021-11-30 07:08:54.097000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211130,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211130,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211130,,
